Q0045	Mt	13818	26701		
Q0050	Mt	13818	16322		
Q0055	Mt	13818	18830		
Q0060	Mt	13818	19996		
Q0065	Mt	13818	21935		
Q0070	Mt	13818	23167		
Q0075	Mt	24156	25255		
Q0080	Mt	27666	27812		
Q0085	Mt	28487	29266		
Q0105	Mt	36540	43647		
Q0110	Mt	36540	38579		
Q0115	Mt	36540	40265		
Q0120	Mt	36540	42251		
Q0130	Mt	46723	46953		
Q0140	Mt	48901	50097		
Q0160	Mt	61022	61729		
Q0250	Mt	73758	74513		
Q0255	Mt	74495	75984		
Q0275	Mt	79213	80022		
YAL001C	1	151166	147594		
YAL002W	1	143707	147531		
YAL003W	1	142174	143160		
YAL005C	1	141431	139503		
YAL007C	1	138345	137698		
YAL008W	1	136914	137510		
YAL009W	1	135854	136633		
YAL010C	1	135665	134184		
YAL011W	1	132199	134076		
YAL012W	1	130799	131983		
YAL013W	1	129270	130487		
YAL014C	1	129019	128252		
YAL015C	1	128102	126903		
YAL016W	1	124879	126786		
YAL017W	1	120225	124295		
YAL018C	1	119541	118564		
YAL019W	1	114919	118314		
YAL020C	1	114615	113614		
YAL021C	1	113359	110846		
YAL022C	1	110430	108877		
YAL023C	1	108551	106272		
YAL024C	1	105872	101565		
YAL025C	1	101145	100225		
YAL026C	1	99697	95630		
YAL027W	1	94687	95472		
YAL028W	1	92900	94486		
YAL029C	1	92270	87855		
YAL030W	1	87286	87752		
YAL031C	1	87031	84749		
YAL032C	1	84474	83335		
YAL033W	1	82706	83227		
YAL034C	1	81951	80710		
YAL034W-A	1	79718	80587		
YAL035W	1	76427	79435		
YAL036C	1	76152	75043		
YAL037C-A	1	73518	73426		
YAL037W	1	74020	74823		
YAL038W	1	71786	73288		
YAL039C	1	69525	68716		
YAL040C	1	67520	65778		
YAL041W	1	62840	65404		
YAL042W	1	61316	62563		
YAL043C	1	61052	58695		
YAL044C	1	58462	57950		
YAL044W-A	1	57518	57850		
YAL046C	1	57385	57029		
YAL047C	1	56857	54989		
YAL048C	1	54789	52801		
YAL049C	1	52595	51855		
YAL051W	1	48564	51707		
YAL053W	1	45899	48250		
YAL054C	1	45022	42881		
YAL055W	1	42177	42719		
YAL056W	1	39259	41901		
YAL058W	1	37464	38972		
YAL059W	1	36509	37147		
YAL060W	1	35155	36303		
YAL061W	1	33448	34701		
YAL062W	1	31567	32940		
YAL063C	1	27968	24000		
YAL063C-A	1	22685	22395		
YAL064C-A	1	13743	13363		
YAL064W	1	21566	21850		
YAL064W-B	1	12046	12426		
YAL065C	1	11951	11565		
YAL067C	1	9016	7235		
YAL067W-A	1	2480	2707		
YAL068C	1	2169	1807		
YAR002C-A	1	154724	154065		
YAR002W	1	152257	153876		
YAR003W	1	155005	156285		
YAR007C	1	158619	156754		
YAR008W	1	158966	159793		
YAR014C	1	168871	166742		
YAR015W	1	169375	170295		
YAR018C	1	171703	170396		
YAR019C	1	175135	172211		
YAR020C	1	177023	176856		
YAR023C	1	179820	179281		
YAR027W	1	183770	184477		
YAR028W	1	184892	185596		
YAR029W	1	186321	186545		
YAR031W	1	186836	187732		
YAR033W	1	188107	188811		
YAR035C-A	1	192417	192337		
YAR035W	1	190193	192256		
YAR042W	1	192619	196185		
YAR050W	1	203403	208016		
YAR064W	1	220198	220497		
YAR066W	1	221049	221660		
YAR068W	1	222406	222891		
YAR071W	1	225460	226863		
YBL001C	2	237467	237153		
YBL002W	2	236492	236887		
YBL003C	2	235792	235394		
YBL004W	2	227636	235117		
YBL005W	2	217470	220400		
YBL006C	2	217129	216587		
YBL007C	2	216366	212632		
YBL008W	2	209653	212175		
YBL008W-A	2	209409	209648		
YBL009W	2	207194	209224		
YBL010C	2	206949	206107		
YBL011W	2	203538	205817		
YBL013W	2	202056	203261		
YBL014C	2	201748	199064		
YBL015W	2	194122	195702		
YBL016W	2	192451	193512		
YBL017C	2	191583	186844		
YBL018C	2	186474	185998		
YBL019W	2	184353	185915		
YBL020W	2	182401	184125		
YBL021C	2	182094	181660		
YBL022C	2	181275	177874		
YBL023C	2	177526	174920		
YBL024W	2	172534	174588		
YBL025W	2	171481	171918		
YBL026W	2	170623	171038		
YBL027W	2	168423	169376		
YBL028C	2	167838	167518		
YBL029C-A	2	164772	164488		
YBL029W	2	166134	167264		
YBL030C	2	163997	163041		
YBL031W	2	161699	162715		
YBL032W	2	160184	161329		
YBL033C	2	159693	158656		
YBL034C	2	158389	153848		
YBL035C	2	153610	151493		
YBL036C	2	151220	150447		
YBL037W	2	147209	150286		
YBL038W	2	146187	146885		
YBL039C	2	145728	143989		
YBL039W-B	2	143393	143572		
YBL040C	2	142868	142112		
YBL041W	2	141247	141972		
YBL042C	2	140260	138341		
YBL043W	2	136688	137461		
YBL044W	2	135998	136366		
YBL045C	2	135516	134143		
YBL046W	2	132424	133749		
YBL047C	2	132040	127895		
YBL049W	2	126828	127244		
YBL050W	2	125125	126119		
YBL051C	2	124759	122753		
YBL052C	2	121874	119379		
YBL054W	2	117589	119166		
YBL055C	2	116829	115573		
YBL056W	2	113762	115168		
YBL057C	2	113427	112801		
YBL058W	2	111437	112708		
YBL059C-A	2	110539	110125		
YBL059W	2	110594	111244		
YBL060W	2	107932	109995		
YBL061C	2	107406	105316		
YBL063W	2	101886	105221		
YBL064C	2	101156	100371		
YBL066C	2	100115	96669		
YBL067C	2	95882	93639		
YBL068W	2	92414	93394		
YBL069W	2	90741	92030		
YBL071C-B	2	89556	89458		
YBL071W-A	2	89978	90226		
YBL072C	2	89125	88523		
YBL074C	2	87789	86722		
YBL075C	2	86448	84499		
YBL076C	2	84261	81043		
YBL078C	2	80731	80378		
YBL079W	2	75259	79767		
YBL080C	2	74695	73070		
YBL081W	2	71866	72972		
YBL082C	2	71127	69751		
YBL084C	2	69445	67169		
YBL085W	2	63876	66818		
YBL086C	2	62602	61202		
YBL087C	2	60739	59822		
YBL088C	2	59382	51019		
YBL089W	2	49574	50953		
YBL090W	2	48825	49358		
YBL091C	2	48628	47363		
YBL091C-A	2	47180	46565		
YBL092W	2	45978	46370		
YBL093C	2	44918	44256		
YBL095W	2	43277	44089		
YBL097W	2	40831	43095		
YBL098W	2	39145	40527		
YBL099W	2	37053	38690		
YBL100W-C	2	28427	28546		
YBL101C	2	28299	24946		
YBL102W	2	24098	24745		
YBL103C	2	23536	22076		
YBL104C	2	21293	18177		
YBL105C	2	17696	14241		
YBL106C	2	13879	10847		
YBL107C	2	10551	9961		
YBL108C-A	2	7733	7605		
YBL111C	2	5009	2907		
YBL112C	2	2899	2582		
YBL113C	2	2658	280		
YBR001C	2	241283	238941		
YBR002C	2	242568	241708		
YBR003W	2	242809	244230		
YBR004C	2	245667	244366		
YBR005W	2	245906	246547		
YBR006W	2	247010	248503		
YBR007C	2	251016	248806		
YBR008C	2	254209	252563		
YBR009C	2	255684	255373		
YBR010W	2	256331	256741		
YBR011C	2	257975	257112		
YBR013C	2	265881	265492		
YBR014C	2	267336	266725		
YBR015C	2	269503	267710		
YBR016W	2	270247	270633		
YBR017C	2	273703	270947		
YBR018C	2	275527	274427		
YBR019C	2	278352	276253		
YBR020W	2	279021	280607		
YBR021W	2	281443	283344		
YBR022W	2	283738	284271		
YBR023C	2	287925	284428		
YBR024W	2	289445	290350		
YBR025C	2	291865	290681		
YBR026C	2	294019	292877		
YBR028C	2	296002	294425		
YBR029C	2	297742	296369		
YBR030W	2	298292	299950		
YBR031W	2	300166	301254		
YBR033W	2	301944	304703		
YBR034C	2	305976	304930		
YBR035C	2	306955	306269		
YBR036C	2	310313	309081		
YBR037C	2	311452	310565		
YBR038W	2	311898	314789		
YBR039W	2	315575	316510		
YBR040W	2	316968	317864		
YBR041W	2	318266	320275		
YBR042C	2	321609	320416		
YBR043C	2	323945	321876		
YBR044C	2	326059	324341		
YBR045C	2	330092	328173		
YBR046C	2	331511	330507		
YBR047W	2	331833	332360		
YBR048W	2	332831	333812		
YBR049C	2	336818	334386		
YBR050C	2	338199	337183		
YBR052C	2	339352	338720		
YBR053C	2	340751	339675		
YBR054W	2	343101	344135		
YBR055C	2	347301	344602		
YBR056W	2	347879	349384		
YBR057C	2	353293	352193		
YBR058C	2	356017	353672		
YBR058C-A	2	356566	356324		
YBR059C	2	360187	356861		
YBR060C	2	362514	360652		
YBR061C	2	365719	364787		
YBR062C	2	366600	365976		
YBR063C	2	368184	366970		
YBR065C	2	369678	368584		
YBR066C	2	370699	370037		
YBR067C	2	372735	372103		
YBR068C	2	375690	373861		
YBR069C	2	378433	376574		
YBR070C	2	379934	379221		
YBR071W	2	380411	381046		
YBR072C-A	2	383021	382860		
YBR072W	2	382030	382674		
YBR073W	2	383112	385988		
YBR074W	2	386286	389216		
YBR076W	2	390227	391291		
YBR077C	2	392293	391805		
YBR078W	2	393123	394742		
YBR079C	2	398277	395383		
YBR080C	2	400890	398614		
YBR081C	2	405251	401253		
YBR082C	2	407169	406628		
